--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		Log file is created at : Sun Jun 15 20:19:44 2025
--------------------------------------------------------------------------------
 {'name': 'loginwindow', 'pid': 377, 'username': 'root', 'vms': 402488.140625} 
 {'name': 'sirittsd', 'pid': 9724, 'username': 'devashish', 'vms': 417306.3125} 


 {'name': 'promotedcontentd', 'pid': 9741, 'username': 'devashish', 'vms': 416951.953125} 


 {'name': 'MTLAssetUpgraderD', 'pid': 9742, 'username': 'devashish', 'vms': 416944.0} 


 {'name': 'siriactionsd', 'pid': 9763, 'username': 'devashish', 'vms': 416978.484375} 


 {'name': 'BackgroundTaskManagementAgent', 'pid': 9766, 'username': 'devashish', 'vms': 416961.390625} 


 {'name': 'assistant_cdmd', 'pid': 9776, 'username': 'devashish', 'vms': 416943.421875} 


 {'name': 'com.apple.CloudPhotosConfiguration', 'pid': 9794, 'username': 'devashish', 'vms': 416944.421875} 


 {'name': 'csnameddatad', 'pid': 9797, 'username': 'devashish', 'vms': 416910.84375} 


 {'name': 'iconservicesagent', 'pid': 9804, 'username': 'devashish', 'vms': 416967.703125} 


 {'name': 'iCloudNotificationAgent', 'pid': 9810, 'username': 'devashish', 'vms': 416955.921875} 


 {'name': 'transparencyd', 'pid': 9816, 'username': 'devashish', 'vms': 416968.015625} 


 {'name': 'milod', 'pid': 9820, 'username': 'devashish', 'vms': 416951.046875} 


 {'name': 'nbagent', 'pid': 9838, 'username': 'devashish', 'vms': 421399.171875} 


 {'name': 'CategoriesService', 'pid': 9872, 'username': 'devashish', 'vms': 416953.3125} 


 {'name': 'XProtectPluginService', 'pid': 9934, 'username': 'devashish', 'vms': 416944.296875} 


 {'name': 'SAExtensionOrchestrator', 'pid': 9974, 'username': 'devashish', 'vms': 401168.875} 


 {'name': 'extensionkitservice', 'pid': 9975, 'username': 'devashish', 'vms': 416920.734375} 


 {'name': 'IFTranscriptSELFIngestor', 'pid': 9976, 'username': 'devashish', 'vms': 416920.234375} 


 {'name': 'BiomeSELFIngestor', 'pid': 9977, 'username': 'devashish', 'vms': 416920.234375} 


 {'name': 'IFTelemetrySELFIngestor', 'pid': 9978, 'username': 'devashish', 'vms': 416920.375} 


 {'name': 'GMSSELFIngestor', 'pid': 9979, 'username': 'devashish', 'vms': 416952.953125} 


 {'name': 'AppPredictionIntentsHelperService', 'pid': 10004, 'username': 'devashish', 'vms': 401553.234375} 


 {'name': 'mobiletimerd', 'pid': 10008, 'username': 'devashish', 'vms': 416943.0} 


 {'name': 'mlhostd', 'pid': 10017, 'username': 'devashish', 'vms': 416954.234375} 


 {'name': 'extensionkitservice', 'pid': 10022, 'username': 'devashish', 'vms': 416920.734375} 


 {'name': 'recentsd', 'pid': 10059, 'username': 'devashish', 'vms': 416944.015625} 


 {'name': 'FPCKService', 'pid': 10078, 'username': 'devashish', 'vms': 401296.859375} 


 {'name': 'mlruntimed', 'pid': 10116, 'username': 'devashish', 'vms': 416953.671875} 


 {'name': 'knowledgeconstructiond', 'pid': 10130, 'username': 'devashish', 'vms': 416947.53125} 


 {'name': 'spotlightknowledged', 'pid': 10134, 'username': 'devashish', 'vms': 416907.625} 


 {'name': 'managedcorespotlightd', 'pid': 10150, 'username': 'devashish', 'vms': 402891.140625} 


 {'name': 'metrickitd', 'pid': 10162, 'username': 'devashish', 'vms': 416910.3125} 


 {'name': 'maild', 'pid': 10180, 'username': 'devashish', 'vms': 416945.5625} 


 {'name': 'CMFSyncAgent', 'pid': 10181, 'username': 'devashish', 'vms': 416910.46875} 


 {'name': 'mediaanalysisd-access', 'pid': 10188, 'username': 'devashish', 'vms': 401671.375} 


 {'name': 'VTDecoderXPCService', 'pid': 10189, 'username': 'devashish', 'vms': 416890.828125} 


 {'name': 'MTLCompilerService', 'pid': 10206, 'username': 'devashish', 'vms': 416947.015625} 


 {'name': 'CloudKeychainProxy', 'pid': 10208, 'username': 'devashish', 'vms': 416910.53125} 


 {'name': 'AuthenticationServicesAgent', 'pid': 10209, 'username': 'devashish', 'vms': 417123.0625} 


 {'name': 'keychainsharingmessagingd', 'pid': 10210, 'username': 'devashish', 'vms': 416911.015625} 


 {'name': 'com.apple.hiservices-xpcservice', 'pid': 10211, 'username': 'devashish', 'vms': 416910.953125} 


 {'name': 'feedbackd', 'pid': 10215, 'username': 'devashish', 'vms': 416910.90625} 


 {'name': 'businessservicesd', 'pid': 10222, 'username': 'devashish', 'vms': 416943.421875} 


 {'name': 'MessagesBlastDoorService', 'pid': 10223, 'username': 'devashish', 'vms': 416912.140625} 


 {'name': 'CommCenter', 'pid': 10224, 'username': 'devashish', 'vms': 416957.1875} 


 {'name': 'ndoagent', 'pid': 10227, 'username': 'devashish', 'vms': 416939.515625} 


 {'name': 'replayd', 'pid': 10231, 'username': 'devashish', 'vms': 416959.421875} 


 {'name': 'swtransparencyd', 'pid': 10264, 'username': 'devashish', 'vms': 416945.453125} 


 {'name': 'CloudTelemetryService', 'pid': 10265, 'username': 'devashish', 'vms': 401546.953125} 


 {'name': 'SetStoreUpdateService', 'pid': 10303, 'username': 'devashish', 'vms': 416943.828125} 


 {'name': 'UsageTrackingAgent', 'pid': 10309, 'username': 'devashish', 'vms': 416954.609375} 


 {'name': 'ManagedSettingsAgent', 'pid': 10310, 'username': 'devashish', 'vms': 416911.875} 


 {'name': 'coreauthd', 'pid': 10349, 'username': 'devashish', 'vms': 416944.109375} 


 {'name': 'SidecarRelay', 'pid': 10353, 'username': 'devashish', 'vms': 401035.125} 


 {'name': 'amsaccountsd', 'pid': 10357, 'username': 'devashish', 'vms': 416958.328125} 


 {'name': 'localizationswitcherd', 'pid': 10358, 'username': 'devashish', 'vms': 416953.28125} 


 {'name': 'appleaccountd', 'pid': 10360, 'username': 'devashish', 'vms': 416949.109375} 


 {'name': 'amsengagementd', 'pid': 10361, 'username': 'devashish', 'vms': 416958.9375} 


 {'name': 'contentlinkingd', 'pid': 10364, 'username': 'devashish', 'vms': 416944.828125} 


 {'name': 'AudioComponentRegistrar', 'pid': 10366, 'username': 'devashish', 'vms': 416910.890625} 


 {'name': 'CarbonComponentScannerXPC', 'pid': 10368, 'username': 'devashish', 'vms': 33198.2265625} 


 {'name': 'proactived', 'pid': 10370, 'username': 'devashish', 'vms': 416955.875} 


 {'name': 'com.apple.audio.SandboxHelper', 'pid': 10373, 'username': 'devashish', 'vms': 400688.203125} 


 {'name': 'swcd', 'pid': 10374, 'username': 'devashish', 'vms': 416953.484375} 


 {'name': 'MTLCompilerService', 'pid': 10385, 'username': 'devashish', 'vms': 416940.515625} 


 {'name': 'pbs', 'pid': 10387, 'username': 'devashish', 'vms': 416953.265625} 


 {'name': 'com.apple.quicklook.ThumbnailsAgent', 'pid': 10388, 'username': 'devashish', 'vms': 417464.15625} 


 {'name': 'extensionkitservice', 'pid': 10390, 'username': 'devashish', 'vms': 416920.734375} 


