USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
devashish        10509   0.0  0.0 410154400   1840   ??  Ss    5:31PM   0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
devashish        10477   0.0  0.1 426963008   7200   ??  S     4:05PM   0:00.11 /System/Library/PrivateFrameworks/CoreParsec.framework/parsec-fbf
devashish        10469   0.0  0.2 426959984  12592   ??  S     3:48PM   0:00.09 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
root             10468   0.0  0.1 426950192   4240   ??  Ss    3:48PM   0:00.11 /usr/libexec/mobileactivationd
root             10456   0.0  0.0 426916800   2960   ??  S     3:47PM   0:00.25 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
root             10455   0.0  0.2 426968016  14832   ??  Ss    3:47PM   0:00.18 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
root             10454   0.0  0.0 426917824   3984   ??  Ss    3:47PM   0:00.07 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
devashish        10452   0.0  0.4 411391392  36832   ??  S     3:47PM   0:00.16 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
devashish        10399   0.0  0.1 426896176   5696   ??  Ss    3:36PM   0:05.64 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
devashish        10394   0.0  0.0 426912624   2464   ??  S     3:36PM   0:00.05 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
root             10393   0.0  0.0 426916704   2352   ??  Ss    3:36PM   0:00.13 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
devashish        10391   0.0  0.1 426963104   7312   ??  Ss    3:36PM   0:00.14 /System/Library/ExtensionKit/Extensions/PackageThumbnailExtension.appex/Contents/MacOS/PackageThumbnailExtension
devashish        10390   0.0  0.1 426926832   6928   ??  Ss    3:36PM   0:00.15 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
root             10389   0.0  0.1 426955232   6560   ??  Ss    3:36PM   0:00.60 /usr/libexec/storagekitd
devashish        10388   0.0  0.2 427483296  18832   ??  S     3:36PM   0:00.50 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
devashish        10387   0.0  0.1 426960144   6256   ??  S     3:36PM   0:00.05 /System/Library/CoreServices/pbs
devashish        10385   0.0  0.2 426947088  13728   ??  Ss    3:36PM   0:01.13 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
devashish        10374   0.0  0.2 426960368  14688   ??  S     3:36PM   0:00.37 /usr/libexec/swcd
devashish        10373   0.0  0.0 410304720   2432   ??  Ss    3:36PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root             10372   0.0  0.1 426951280   4688   ??  Ss    3:36PM   0:00.09 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
root             10371   0.0  0.1 426950816   5584   ??  Ss    3:36PM   0:00.18 /usr/libexec/nesessionmanager
