--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		Log file is created at : Sun Jun 15 20:58:58 2025
--------------------------------------------------------------------------------
 {'pid': 377, 'name': 'loginwindow', 'username': 'root', 'vms': 402489.78125} 
 {'pid': 9742, 'name': 'MTLAssetUpgraderD', 'username': 'devashish', 'vms': 416944.0} 


 {'pid': 9763, 'name': 'siriactionsd', 'username': 'devashish', 'vms': 416977.9375} 


 {'pid': 9766, 'name': 'BackgroundTaskManagementAgent', 'username': 'devashish', 'vms': 416961.390625} 


 {'pid': 9776, 'name': 'assistant_cdmd', 'username': 'devashish', 'vms': 416943.421875} 


 {'pid': 9794, 'name': 'com.apple.CloudPhotosConfiguration', 'username': 'devashish', 'vms': 416944.421875} 


 {'pid': 9797, 'name': 'csnameddatad', 'username': 'devashish', 'vms': 416910.84375} 


 {'pid': 9804, 'name': 'iconservicesagent', 'username': 'devashish', 'vms': 416967.703125} 


 {'pid': 9810, 'name': 'iCloudNotificationAgent', 'username': 'devashish', 'vms': 416955.921875} 


 {'pid': 9816, 'name': 'transparencyd', 'username': 'devashish', 'vms': 416968.015625} 


 {'pid': 9820, 'name': 'milod', 'username': 'devashish', 'vms': 416951.046875} 


 {'pid': 9838, 'name': 'nbagent', 'username': 'devashish', 'vms': 421399.171875} 


 {'pid': 9872, 'name': 'CategoriesService', 'username': 'devashish', 'vms': 416953.3125} 


 {'pid': 9934, 'name': 'XProtectPluginService', 'username': 'devashish', 'vms': 416944.296875} 


 {'pid': 9974, 'name': 'SAExtensionOrchestrator', 'username': 'devashish', 'vms': 401168.875} 


 {'pid': 9975, 'name': 'extensionkitservice', 'username': 'devashish', 'vms': 416920.734375} 


 {'pid': 9976, 'name': 'IFTranscriptSELFIngestor', 'username': 'devashish', 'vms': 416920.234375} 


 {'pid': 9977, 'name': 'BiomeSELFIngestor', 'username': 'devashish', 'vms': 416920.234375} 


 {'pid': 9978, 'name': 'IFTelemetrySELFIngestor', 'username': 'devashish', 'vms': 416920.375} 


 {'pid': 9979, 'name': 'GMSSELFIngestor', 'username': 'devashish', 'vms': 416952.953125} 


 {'pid': 10004, 'name': 'AppPredictionIntentsHelperService', 'username': 'devashish', 'vms': 401553.234375} 


 {'pid': 10008, 'name': 'mobiletimerd', 'username': 'devashish', 'vms': 416943.0} 


 {'pid': 10017, 'name': 'mlhostd', 'username': 'devashish', 'vms': 416954.234375} 


 {'pid': 10022, 'name': 'extensionkitservice', 'username': 'devashish', 'vms': 416920.734375} 


 {'pid': 10059, 'name': 'recentsd', 'username': 'devashish', 'vms': 416944.015625} 


 {'pid': 10078, 'name': 'FPCKService', 'username': 'devashish', 'vms': 401296.859375} 


 {'pid': 10116, 'name': 'mlruntimed', 'username': 'devashish', 'vms': 416953.671875} 


 {'pid': 10130, 'name': 'knowledgeconstructiond', 'username': 'devashish', 'vms': 416947.53125} 


 {'pid': 10134, 'name': 'spotlightknowledged', 'username': 'devashish', 'vms': 416907.625} 


 {'pid': 10150, 'name': 'managedcorespotlightd', 'username': 'devashish', 'vms': 402891.140625} 


 {'pid': 10162, 'name': 'metrickitd', 'username': 'devashish', 'vms': 416910.3125} 


 {'pid': 10180, 'name': 'maild', 'username': 'devashish', 'vms': 416945.5625} 


 {'pid': 10181, 'name': 'CMFSyncAgent', 'username': 'devashish', 'vms': 416910.46875} 


 {'pid': 10188, 'name': 'mediaanalysisd-access', 'username': 'devashish', 'vms': 401671.375} 


 {'pid': 10189, 'name': 'VTDecoderXPCService', 'username': 'devashish', 'vms': 416890.828125} 


 {'pid': 10206, 'name': 'MTLCompilerService', 'username': 'devashish', 'vms': 416947.015625} 


 {'pid': 10208, 'name': 'CloudKeychainProxy', 'username': 'devashish', 'vms': 416910.53125} 


 {'pid': 10209, 'name': 'AuthenticationServicesAgent', 'username': 'devashish', 'vms': 417122.515625} 


 {'pid': 10210, 'name': 'keychainsharingmessagingd', 'username': 'devashish', 'vms': 416911.015625} 


 {'pid': 10211, 'name': 'com.apple.hiservices-xpcservice', 'username': 'devashish', 'vms': 416910.953125} 


 {'pid': 10215, 'name': 'feedbackd', 'username': 'devashish', 'vms': 416910.90625} 


 {'pid': 10222, 'name': 'businessservicesd', 'username': 'devashish', 'vms': 416943.421875} 


 {'pid': 10223, 'name': 'MessagesBlastDoorService', 'username': 'devashish', 'vms': 416912.140625} 


 {'pid': 10224, 'name': 'CommCenter', 'username': 'devashish', 'vms': 416956.640625} 


 {'pid': 10227, 'name': 'ndoagent', 'username': 'devashish', 'vms': 416939.515625} 


 {'pid': 10231, 'name': 'replayd', 'username': 'devashish', 'vms': 416959.421875} 


 {'pid': 10264, 'name': 'swtransparencyd', 'username': 'devashish', 'vms': 416945.453125} 


 {'pid': 10265, 'name': 'CloudTelemetryService', 'username': 'devashish', 'vms': 401546.953125} 


 {'pid': 10303, 'name': 'SetStoreUpdateService', 'username': 'devashish', 'vms': 416943.828125} 


 {'pid': 10309, 'name': 'UsageTrackingAgent', 'username': 'devashish', 'vms': 416954.609375} 


 {'pid': 10310, 'name': 'ManagedSettingsAgent', 'username': 'devashish', 'vms': 416911.875} 


 {'pid': 10349, 'name': 'coreauthd', 'username': 'devashish', 'vms': 416944.109375} 


 {'pid': 10353, 'name': 'SidecarRelay', 'username': 'devashish', 'vms': 401035.125} 


 {'pid': 10357, 'name': 'amsaccountsd', 'username': 'devashish', 'vms': 416958.328125} 


 {'pid': 10358, 'name': 'localizationswitcherd', 'username': 'devashish', 'vms': 416953.28125} 


 {'pid': 10360, 'name': 'appleaccountd', 'username': 'devashish', 'vms': 416949.109375} 


 {'pid': 10361, 'name': 'amsengagementd', 'username': 'devashish', 'vms': 416958.390625} 


 {'pid': 10364, 'name': 'contentlinkingd', 'username': 'devashish', 'vms': 416944.28125} 


